🎹 Launchkey MIDI Logger with Timestamp & Note Parsing Starting...
✅ MIDI interface claimed. Listening for input...
[1744831296625841 us] Raw: 0F F8 00 00  
[1744831296626083 us] Raw: 0F F8 00 00  
[1744831296626083 us] Raw: 0F F8 00 00  
[1744831296626083 us] Raw: 0F F8 00 00  
[1744831296626083 us] Raw: 0F F8 00 00  
[1744831296626083 us] Raw: 0F F8 00 00  
[1744831296626083 us] Raw: 0F F8 00 00  
[1744831296626083 us] Raw: 0F F8 00 00  
[1744831296626083 us] Raw: 0F F8 00 00  
[1744831296626083 us] Raw: 0F F8 00 00  
[1744831296626083 us] Raw: 0F F8 00 00  
[1744831296626083 us] Raw: 0F F8 00 00  
[1744831296626083 us] Raw: 0F F8 00 00  
[1744831296626083 us] Raw: 0F F8 00 00  
[1744831296626083 us] Raw: 0F F8 00 00  
[1744831296626083 us] Raw: 0F F8 00 00  
[1744831296626083 us] Raw: 0F F8 00 00  
[1744831296626324 us] Raw: 0F F8 00 00  
[1744831296626324 us] Raw: 0F F8 00 00  
[1744831296626324 us] Raw: 0F F8 00 00  
[1744831296626324 us] Raw: 0F F8 00 00  
[1744831296626324 us] Raw: 0F F8 00 00  
[1744831296626324 us] Raw: 0F F8 00 00  
[1744831296626324 us] Raw: 0F F8 00 00  
[1744831296626324 us] Raw: 0F F8 00 00  
[1744831296626324 us] Raw: 0F F8 00 00  
[1744831296626324 us] Raw: 0F F8 00 00  
[1744831296626324 us] Raw: 0F F8 00 00  
[1744831296626324 us] Raw: 0F F8 00 00  
[1744831296626324 us] Raw: 0F F8 00 00  
[1744831296626324 us] Raw: 0F F8 00 00  
[1744831296626324 us] Raw: 0F F8 00 00  
[1744831296626324 us] Raw: 0F F8 00 00  
[1744831296626575 us] Raw: 0F F8 00 00  
[1744831296626575 us] Raw: 0F F8 00 00  
[1744831296626575 us] Raw: 0F F8 00 00  
[1744831296626575 us] Raw: 0F F8 00 00  
[1744831296626575 us] Raw: 0F F8 00 00  
[1744831296626575 us] Raw: 0F F8 00 00  
[1744831296626575 us] Raw: 0F F8 00 00  
[1744831296626575 us] Raw: 0F F8 00 00  
[1744831296626575 us] Raw: 0F F8 00 00  
[1744831296626575 us] Raw: 0F F8 00 00  
[1744831296626575 us] Raw: 0F F8 00 00  
[1744831296626575 us] Raw: 0F F8 00 00  
[1744831296626575 us] Raw: 0F F8 00 00  
[1744831296626575 us] Raw: 0F F8 00 00  
[1744831296626575 us] Raw: 0F F8 00 00  
[1744831296626575 us] Raw: 0F F8 00 00  
[1744831296626822 us] Raw: 0F F8 00 00  
[1744831296626822 us] Raw: 0F F8 00 00  
[1744831296626822 us] Raw: 0F F8 00 00  
[1744831296626822 us] Raw: 0F F8 00 00  
[1744831296626822 us] Raw: 0F F8 00 00  
[1744831296626822 us] Raw: 0F F8 00 00  
[1744831296626822 us] Raw: 0F F8 00 00  
[1744831296626822 us] Raw: 0F F8 00 00  
[1744831296626822 us] Raw: 0F F8 00 00  
[1744831296626822 us] Raw: 0F F8 00 00  
[1744831296626822 us] Raw: 0F F8 00 00  
[1744831296626822 us] Raw: 0F F8 00 00  
[1744831296626822 us] Raw: 0F F8 00 00  
[1744831296626822 us] Raw: 0F F8 00 00  
[1744831296626822 us] Raw: 0F F8 00 00  
[1744831296626822 us] Raw: 0F F8 00 00  
[1744831296655767 us] Raw: 0F F8 00 00  
[1744831296685768 us] Raw: 0F F8 00 00  
[1744831296715739 us] Raw: 0F F8 00 00  
[1744831296715904 us] Raw: 0F F8 00 00  
[1744831296745760 us] Raw: 0F F8 00 00  
[1744831296775739 us] Raw: 0F F8 00 00  
[1744831296775904 us] Raw: 0F F8 00 00  
[1744831296805736 us] Raw: 0F F8 00 00  
[1744831296835735 us] Raw: 0F F8 00 00  
[1744831296835904 us] Raw: 0F F8 00 00  
[1744831296865735 us] Raw: 0F F8 00 00  
[1744831296895734 us] Raw: 0F F8 00 00  
[1744831296895904 us] Raw: 0F F8 00 00  
[1744831296925738 us] Raw: 0F F8 00 00  
[1744831296955735 us] Raw: 0F F8 00 00  
[1744831296985735 us] Raw: 0F F8 00 00  
[1744831296985905 us] Raw: 0F F8 00 00  
[1744831297015734 us] Raw: 0F F8 00 00  
[1744831297045736 us] Raw: 0F F8 00 00  
[1744831297045905 us] Raw: 0F F8 00 00  
[1744831297075735 us] Raw: 0F F8 00 00  
[1744831297105734 us] Raw: 0F F8 00 00  
[1744831297105906 us] Raw: 0F F8 00 00  
[1744831297135760 us] Raw: 0F F8 00 00  
[1744831297165767 us] Raw: 0F F8 00 00  
[1744831297165908 us] Raw: 0F F8 00 00  
[1744831297195762 us] Raw: 0F F8 00 00  
[1744831297225760 us] Raw: 0F F8 00 00  
[1744831297255763 us] Raw: 0F F8 00 00  
[1744831297255908 us] Raw: 0F F8 00 00  
[1744831297285761 us] Raw: 0F F8 00 00  
[1744831297315763 us] Raw: 0F F8 00 00  
[1744831297316041 us] Raw: 0F F8 00 00  
[1744831297345739 us] Raw: 0F F8 00 00  
[1744831297375735 us] Raw: 0F F8 00 00  
[1744831297375908 us] Raw: 0F F8 00 00  
[1744831297405735 us] Raw: 0F F8 00 00  
[1744831297435734 us] Raw: 0F F8 00 00  
[1744831297465735 us] Raw: 0F F8 00 00  
[1744831297465909 us] Raw: 0F F8 00 00  
[1744831297495735 us] Raw: 0F F8 00 00  
[1744831297525734 us] Raw: 0F F8 00 00  
